id_registro,codigo_equipo,fecha,tipo_mantenimiento,categoria_falla,urgencia,descripcion,costo_soles,tecnico,prioridad,horas_intervencion,estado_post
R00057,EQ-001,2022-01-06,Correctivo,Calibración,Alta,Calibración vencida,577.19,J. Ramírez,Alta,6.5,Operativo
R00066,EQ-001,2022-01-13,Correctivo,Eléctrica,Media,Falla en fuente de poder,229.45,A. Flores,Media,1.1,Operativo
R00049,EQ-001,2022-01-21,Correctivo,Calibración,Baja,Ajuste de cero requerido,445.82,L. Quispe,Baja,3.6,Operativo
R00001,EQ-001,2022-02-02,Preventivo,—,Programado,Mantenimiento preventivo programado,150.03,M. Torres,Baja,0.5,Operativo
R00033,EQ-001,2022-02-06,Correctivo,Calibración,Alta,Desviación de medición,332.44,M. Torres,Alta,3.1,En observación
R00061,EQ-001,2022-03-06,Correctivo,Software,Alta,Pantalla congelada,167.53,L. Quispe,Alta,1.3,Operativo
R00050,EQ-001,2022-03-14,Correctivo,Mecánica,Alta,Holgura en soporte,1326.45,A. Flores,Alta,6.7,En observación
R00025,EQ-001,2022-04-04,Correctivo,Desgaste,Alta,Acumulación de horas de uso,1107.37,M. Torres,Alta,2.5,En observación
R00028,EQ-001,2022-04-25,Correctivo,Sensores,Alta,Sensor de flujo defectuoso,,L. Quispe,Alta,1.8,Operativo
R00002,EQ-001,2022-04-30,Preventivo,—,Programado,Mantenimiento preventivo programado,121.84,M. Torres,Baja,0.6,Operativo
R00042,EQ-001,2022-06-22,Correctivo,Mecánica,Alta,Holgura en soporte,1380.43,J. Ramírez,Alta,3.8,En observación
R00047,EQ-001,2022-07-07,Correctivo,Sensores,Alta,Error de lectura de presión,2066.29,J. Ramírez,Alta,5.5,En observación
R00040,EQ-001,2022-07-16,Correctivo,Mecánica,Alta,Holgura en soporte,1762.13,L. Quispe,Alta,1.4,En observación
R00003,EQ-001,2022-08-01,Preventivo,—,Programado,Mantenimiento preventivo programado,136.23,L. Quispe,Baja,1.8,Operativo
R00027,EQ-001,2022-08-07,Correctivo,Mecánica,Alta,Rotura de manguera,1247.26,L. Quispe,Alta,3.1,Operativo
R00024,EQ-001,2022-08-30,Correctivo,Sensores,Baja,Sensor SpO2 descalibrado,752.71,J. Ramírez,Baja,2.5,En observación
R00063,EQ-001,2022-09-03,Correctivo,Sensores,Alta,Termistor fuera de rango,921.14,L. Quispe,Alta,2.6,Operativo
